Atlas value,left,right
1,lVisCent_ExStr_1,rVisCent_ExStr_1
2,lVisCent_ExStr_2,rVisCent_ExStr_2
3,lVisCent_Striate_1,rVisCent_Striate_1
4,lVisCent_ExStr_3,rVisCent_ExStr_3
5,lVisCent_ExStr_4,rVisCent_ExStr_4
6,lVisCent_ExStr_5,rVisCent_ExStr_5
7,lVisPeri_ExStrInf_1,rVisPeri_ExStrInf_1
8,lVisPeri_ExStrInf_2,rVisPeri_ExStrInf_2
9,lVisPeri_ExStrInf_3,rVisPeri_StriCal_1
10,lVisPeri_StriCal_1,rVisPeri_ExStrSup_1
11,lVisPeri_ExStrSup_1,rVisPeri_ExStrSup_2
12,lVisPeri_ExStrSup_2,rVisPeri_ExStrSup_3
13,lSomMotA_1,rSomMotA_1
14,lSomMotA_2,rSomMotA_2
15,lSomMotA_3,rSomMotA_3
16,lSomMotA_4,rSomMotA_4
17,lSomMotA_5,rSomMotA_5
18,lSomMotA_6,rSomMotA_6
19,lSomMotA_7,rSomMotA_7
20,lSomMotA_8,rSomMotA_8
21,lSomMotB_Aud_1,rSomMotA_9
22,lSomMotB_Aud_2,rSomMotA_10
23,lSomMotB_S2_1,rSomMotA_11
24,lSomMotB_S2_2,rSomMotB_Aud_1
25,lSomMotB_Aud_3,rSomMotB_Aud_2
26,lSomMotB_S2_3,rSomMotB_S2_1
27,lSomMotB_Cent_1,rSomMotB_S2_2
28,lSomMotB_Cent_2,rSomMotB_S2_3
29,lDorsAttnA_TempOcc_1,rSomMotB_S2_4
30,lDorsAttnA_TempOcc_2,rSomMotB_Cent_1
31,lDorsAttnA_ParOcc_1,rDorsAttnA_TempOcc_1
32,lDorsAttnA_SPL_1,rDorsAttnA_ParOcc_1
33,lDorsAttnA_SPL_2,rDorsAttnA_SPL_1
34,lDorsAttnA_SPL_3,rDorsAttnA_SPL_2
35,lDorsAttnB_PostC_1,rDorsAttnA_SPL_3
36,lDorsAttnB_PostC_2,rDorsAttnA_SPL_4
37,lDorsAttnB_PostC_3,rDorsAttnB_PostC_1
38,lDorsAttnB_PostC_4,rDorsAttnB_PostC_2
39,lDorsAttnB_FEF_1,rDorsAttnB_PostC_3
40,lSalVentAttnA_ParOper_1,rDorsAttnB_PostC_4
41,lSalVentAttnA_Ins_1,rDorsAttnB_FEF_1
42,lSalVentAttnA_FrOper_1,rSalVentAttnA_ParOper_1
43,lSalVentAttnA_FrOper_2,rSalVentAttnA_PrC_1
44,lSalVentAttnA_ParMed_1,rSalVentAttnA_Ins_1
45,lSalVentAttnA_FrMed_1,rSalVentAttnA_Ins_2
46,lSalVentAttnA_FrMed_2,rSalVentAttnA_FrOper_1
47,lSalVentAttnB_IPL_1,rSalVentAttnA_FrMed_1
48,lSalVentAttnB_PFCl_1,rSalVentAttnA_ParMed_1
49,lSalVentAttnB_Ins_1,rSalVentAttnA_ParMed_2
50,lSalVentAttnB_PFCmp_1,rSalVentAttnA_FrMed_2
51,lLimbicB_OFC_1,rSalVentAttnB_IPL_1
52,lLimbicB_OFC_2,rSalVentAttnB_PFClv_1
53,lLimbicA_TempPole_1,rSalVentAttnB_PFCl_1
54,lLimbicA_TempPole_2,rSalVentAttnB_Ins_1
55,lLimbicA_TempPole_3,rSalVentAttnB_Ins_2
56,lLimbicA_TempPole_4,rSalVentAttnB_PFCmp_1
57,lContA_Temp_1,rLimbicB_OFC_1
58,lContA_IPS_1,rLimbicB_OFC_2
59,lContA_IPS_2,rLimbicB_OFC_3
60,lContA_IPS_3,rLimbicB_OFC_4
61,lContA_PFCd_1,rLimbicA_TempPole_1
62,lContA_PFClv_1,rLimbicA_TempPole_2
63,lContA_PFCl_1,rLimbicA_TempPole_3
64,lContA_PFCl_2,rLimbicA_TempPole_4
